FBtr0339781,SPR
FBtr0070778,SPR
FBtr0344824,SPR
FBtr0472838,hpRNA:CR46343
FBtr0345292,RpL17
FBtr0070983,RpL17
FBtr0070982,RpL17
FBtr0070981,RpL17
FBtr0070980,RpL17
FBtr0307300,Tsp26A
FBtr0113024,Tsp26A
FBtr0332600,Tsp26A
FBtr0083414,m-cup
FBtr0337043,m-cup
FBtr0077516,CG2772
FBtr0112524,inaF-A
FBtr0089233,4E-T
FBtr0334626,4E-T
FBtr0310651,4E-T
FBtr0089229,4E-T
FBtr0082920,CG14839
FBtr0077386,CG11927
FBtr0346880,2SrRNA:CR45840
FBtr0071106,CG1571
FBtr0308635,CR43399
FBtr0070937,schlank
FBtr0070938,schlank
FBtr0070397,Or2a
FBtr0074346,CG33252
FBtr0071471,CG15306
FBtr0330316,CG15306
FBtr0073162,Eig63F-2
FBtr0074918,Mtr3
FBtr0072124,CG5543
FBtr0071683,Rae1
FBtr0077403,CG2837
FBtr0113021,CG2837
FBtr0077402,CG2837
FBtr0077401,CG2837
FBtr0300280,Gr66a
FBtr0346378,CG12702
FBtr0074809,CG12702
FBtr0335137,CG12702
FBtr0346141,Anp
FBtr0085611,Anp
FBtr0074029,CG9072
FBtr0091803,snoRNA:Psi28S-3436b
FBtr0075388,Gagr
FBtr0343534,Gagr
FBtr0086001,CG17994
FBtr0321315,CG43711
FBtr0333037,Gbs-70E
FBtr0075724,Gbs-70E
FBtr0075723,Gbs-70E
FBtr0342770,Vinc
FBtr0070420,Vinc
FBtr0342771,Vinc
FBtr0333323,exd
FBtr0333322,exd
FBtr0074137,exd
FBtr0074135,exd
FBtr0308136,sala
FBtr0080237,sala
FBtr0300638,CG42505
FBtr0309038,CR42862
FBtr0309037,CR42862
FBtr0309035,CR42862
FBtr0304059,CR42862
FBtr0309036,CR42862
FBtr0073729,CG32641
FBtr0084836,MED28
FBtr0082430,CG14721
FBtr0335211,CG14721
FBtr0076857,CG33278
FBtr0300424,CG31627
FBtr0083860,CG4572
FBtr0302327,CG4572
FBtr0083861,CG4572
FBtr0304389,mir-1016
FBtr0083086,SerRS-m
FBtr0334589,SerRS-m
FBtr0091874,His2B:CG33870
FBtr0073935,CG5334
FBtr0073300,nAChRbeta1
FBtr0073299,nAChRbeta1
FBtr0344310,CR45038
FBtr0088841,CG12822
FBtr0088842,CG12822
FBtr0345599,SmydA-8
FBtr0070422,SmydA-8
FBtr0342772,SmydA-8
FBtr0070421,SmydA-8
FBtr0333023,comm
FBtr0075579,comm
FBtr0072248,CG16786
FBtr0345620,CG16786
FBtr0072247,CG16786
FBtr0072253,Zfrp8
FBtr0343432,Zfrp8
FBtr0073127,CycJ
FBtr0073128,CycJ
FBtr0342780,CR44683
FBtr0342781,CR44683
FBtr0079458,Gr28b
FBtr0079460,Gr28b
FBtr0079462,Gr28b
FBtr0079461,Gr28b
FBtr0079459,Gr28b
FBtr0081997,Nmdmc
FBtr0081996,Nmdmc
FBtr0336761,Nmdmc
FBtr0336637,CG11073
FBtr0300693,CG11073
FBtr0336636,CG11073
FBtr0071797,CG11073
FBtr0336638,CG11073
FBtr0087382,unc-5
FBtr0339998,unc-5
FBtr0113564,snoRNA:Psi28S-1192c
FBtr0301478,Mvl
FBtr0089521,Mvl
FBtr0306351,Mvl
FBtr0306350,Mvl
FBtr0330046,Mvl
FBtr0301477,Mvl
FBtr0300224,Gr2a
FBtr0114515,Gr2a
FBtr0087406,CG12853
FBtr0072888,CG13801
FBtr0085859,CG2150
FBtr0334894,Nup98-96
FBtr0084460,Nup98-96
FBtr0304567,Nup98-96
FBtr0347176,CR46022
FBtr0070907,kdn
FBtr0070906,kdn
FBtr0305911,alpha-Est10
FBtr0289953,alpha-Est10
FBtr0305910,alpha-Est10
FBtr0088312,Cyp49a1
FBtr0088313,Cyp49a1
FBtr0088311,Cyp49a1
FBtr0304592,Cyp49a1
FBtr0088882,CG8728
FBtr0308765,CR43417
FBtr0308766,CR43417
